oem,modelYear,model,ft,ownerNo,City,price_cleaned,km_bucket
Maruti,2019,Maruti Baleno,Petrol,1,Bangalore,780000.0,10000-20000
Maruti,2012,Maruti Swift,Petrol,2,Bangalore,475000.0,50000-60000
Hyundai,2014,Hyundai Grand i10,Petrol,1,Bangalore,555000.0,30000-40000
Honda,2017,Honda Jazz,Petrol,2,Bangalore,607000.0,40000-50000
Hyundai,2017,Hyundai Grand i10,Petrol,2,Bangalore,514000.0,60000-70000
Maruti,2016,Maruti Baleno,Petrol,2,Bangalore,705000.0,30000-40000
Maruti,2016,Maruti Baleno,Petrol,1,Bangalore,653000.0,60000-70000
Honda,2015,Honda City,Petrol,1,Bangalore,872000.0000000001,50000-60000
Hyundai,2017,Hyundai Grand i10,Petrol,2,Bangalore,564000.0,60000-70000
Volkswagen,2011,Volkswagen Polo,Diesel,2,Bangalore,370000.0,90000-100000
Maruti,2015,Maruti Swift,Petrol,1,Bangalore,550000.0,60000-70000
Honda,2016,Honda Jazz,Petrol,3,Bangalore,517000.0,70000-80000
Maruti,2016,Maruti Swift Dzire,Petrol,1,Bangalore,620000.0,40000-50000
Maruti,2016,Maruti Swift Dzire,Petrol,1,Bangalore,620000.0,40000-50000
Honda,2014,Honda City,Petrol,1,Bangalore,750000.0,40000-50000
Tata,2022,Tata Nexon,Petrol,1,Bangalore,1220000.0,30000-40000
Mercedes-Benz,2013,Mercedes-Benz B Class,Diesel,2,Bangalore,1350000.0,100000-110000
Maruti,2015,Maruti Swift,Petrol,1,Bangalore,575000.0,60000-70000
Jeep,2018,Jeep Compass,Diesel,1,Bangalore,1250000.0,110000-120000
Hyundai,2016,Hyundai Verna,Petrol,2,Bangalore,868000.0,50000-60000
Kia,2020,Kia Carnival,Diesel,1,Bangalore,3000000.0,60000-70000
Hyundai,2021,Hyundai i20,Petrol,1,Bangalore,980000.0,20000-30000
Maruti,2022,Maruti Swift,Petrol,1,Bangalore,900000.0,10000-20000
Honda,2016,Honda Jazz,Petrol,2,Bangalore,550000.0,90000-100000
Skoda,2012,Skoda Rapid,Diesel,1,Bangalore,450000.0,90000-100000
Maruti,2017,Maruti Swift,Petrol,2,Bangalore,610000.0,60000-70000
Honda,2017,Honda Jazz,Petrol,1,Bangalore,543000.0,70000-80000
Hyundai,2021,Hyundai i20,Petrol,1,Bangalore,980000.0,30000-40000
Honda,2016,Honda Jazz,Petrol,1,Bangalore,535000.0,70000-80000
Maruti,2016,Maruti Ciaz,Petrol,2,Bangalore,661000.0,70000-80000
Maruti,2015,Maruti Swift,Petrol,2,Bangalore,505000.0,50000-60000
Honda,2017,Honda WR-V,Petrol,1,Bangalore,865000.0,30000-40000
Hyundai,2019,Hyundai Venue,Petrol,1,Bangalore,999000.0,40000-50000
Skoda,2018,Skoda Superb,Petrol,2,Bangalore,2365000.0,40000-50000
Fiat,2012,Fiat Linea,Petrol,2,Bangalore,400000.0,50000-60000
Maruti,2012,Maruti Swift Dzire,Diesel,1,Bangalore,550000.0,100000-110000
BMW,2020,BMW X4,Diesel,1,Bangalore,6050000.0,50000-60000
BMW,2011,BMW X3,Diesel,2,Bangalore,1600000.0,110000-120000
Volkswagen,2013,Volkswagen Polo,Petrol,3,Bangalore,520000.0,90000-100000
Maruti,2019,Maruti Ciaz,Petrol,2,Bangalore,795000.0,50000-60000
Honda,2016,Honda Jazz,Petrol,1,Bangalore,624000.0,60000-70000
Maruti,2013,Maruti Swift Dzire,Petrol,1,Bangalore,524000.0,30000-40000
Mahindra,2019,Mahindra XUV500,Diesel,1,Bangalore,1650000.0,80000-90000
Maruti,2015,Maruti Swift,Diesel,2,Bangalore,583000.0,50000-60000
Volkswagen,2020,Volkswagen Vento,Petrol,2,Bangalore,1147000.0,60000-70000
Mini,2013,Mini Cooper,Petrol,2,Bangalore,1750000.0,80000-90000
Skoda,2016,Skoda Rapid,Diesel,1,Bangalore,825000.0,50000-60000
Land Rover,2016,Land Rover Discovery Sport,Diesel,1,Bangalore,3150000.0,90000-100000
Volkswagen,2018,Volkswagen Polo,Petrol,1,Bangalore,755000.0,70000-80000
Hyundai,2015,Hyundai Creta,Petrol,1,Bangalore,875000.0,70000-80000
Volkswagen,2021,Volkswagen Polo,Petrol,1,Bangalore,855000.0000000001,60000-70000
Hyundai,2016,Hyundai Grand i10,Petrol,1,Bangalore,525000.0,60000-70000
Hyundai,2017,Hyundai Grand i10,Petrol,1,Bangalore,650000.0,30000-40000
Honda,2018,Honda City,Petrol,1,Bangalore,846000.0000000001,70000-80000
Maruti,2013,Maruti Swift,Petrol,2,Bangalore,424000.0,60000-70000
Toyota,2021,Toyota Yaris,Petrol,2,Bangalore,959000.0,10000-20000
Renault,2020,Renault Duster,Petrol,1,Bangalore,889000.0,90000-100000
Renault,2022,Renault Kiger,Petrol,1,Bangalore,850000.0,10000-20000
Renault,2022,Renault Kiger,Petrol,1,Bangalore,660000.0,20000-30000
Honda,2012,Honda Brio,Petrol,1,Bangalore,334000.0,60000-70000
Mahindra,2018,Mahindra KUV 100,Petrol,1,Bangalore,594000.0,40000-50000
Renault,2021,Renault Kiger,Petrol,1,Bangalore,991000.0,20000-30000
Jeep,2018,Jeep Compass,Diesel,1,Bangalore,1450000.0,50000-60000
Hyundai,2022,Hyundai Venue,Diesel,1,Bangalore,1285000.0,20000-30000
Volvo,2021,Volvo XC40,Petrol,1,Bangalore,4195000.0,20000-30000
Maruti,2022,Maruti Baleno,Petrol,1,Bangalore,825000.0,10000-20000
Honda,2018,Honda City,Petrol,1,Bangalore,825000.0,40000-50000
Ford,2020,Ford Ecosport,Diesel,1,Bangalore,920000.0,40000-50000
Mercedes-Benz,2018,Mercedes-Benz C-Class,Diesel,2,Bangalore,3300000.0,20000-30000
Ford,2017,Ford Ecosport,Diesel,2,Bangalore,729000.0,90000-100000
Maruti,2015,Maruti Celerio,Petrol,1,Bangalore,432000.0,50000-60000
Renault,2016,Renault Duster,Diesel,1,Bangalore,700000.0,100000-110000
Hyundai,2021,Hyundai Verna,Petrol,1,Bangalore,1499000.0,0-10000
Renault,2017,Renault Duster,Petrol,1,Bangalore,762000.0,30000-40000
MG,2022,MG Astor,Petrol,1,Bangalore,1625000.0,20000-30000
Hyundai,2020,Hyundai Venue,Petrol,1,Bangalore,1218000.0,20000-30000
Hyundai,2017,Hyundai Grand i10,Petrol,1,Bangalore,524000.0,60000-70000
Mahindra,2018,Mahindra XUV500,Diesel,3,Bangalore,1405000.0,20000-30000
Kia,2022,Kia Sonet,Petrol,1,Bangalore,1390000.0,10000-20000
MG,2021,MG Hector,Petrol,1,Bangalore,1890000.0,30000-40000
Hyundai,2018,Hyundai Creta,Petrol,1,Bangalore,1275000.0,20000-30000
Hyundai,2010,Hyundai i10,Petrol,3,Bangalore,275000.0,90000-100000
Honda,2022,Honda City,Petrol,1,Bangalore,1125000.0,20000-30000
Honda,2016,Honda City,Petrol,1,Bangalore,650000.0,80000-90000
Audi,2010,Audi A4,Petrol,3,Bangalore,700000.0,110000-120000
Honda,2019,Honda City,Petrol,1,Bangalore,1100000.0,10000-20000
Hyundai,2010,Hyundai i10,Petrol,2,Bangalore,395000.0,60000-70000
Hyundai,2019,Hyundai Xcent,Petrol,1,Bangalore,681000.0,20000-30000
Maruti,2020,Maruti S-Presso,Petrol,1,Bangalore,405000.0,70000-80000
Honda,2018,Honda Jazz,Petrol,1,Bangalore,765000.0,40000-50000
Maruti,2014,Maruti Ritz,Diesel,1,Bangalore,487000.0,90000-100000
Mahindra,2018,Mahindra XUV500,Diesel,1,Bangalore,1474000.0,80000-90000
